# Moller et al. 2022 
# SNe Ia selected with SuperNNova using host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# No HQ nor JLA cuts 
# Columns are: SNID=id zHD=redshift IAUC=naming SuperNNova probabilities= all_class0_S_0, average_probability_set_0 
#              SALT2 fit= c,x1,zHDERR,cERR,x1ERR 
SNID,IAUC,SNTYPE,zHD,c,x1,zHDERR,cERR,x1ERR,HOSTGAL_MAG_r,all_class0_S_0,average_probability_set_0
1530191,DES16X3cxp      ,0,0.5558,0.0751126999999999,-1.54834,0.001,0.0516461999999999,0.5804600000000001,21.66,0.9999974,0.9999978
1530193,DES16X3dfk      ,1,0.1477,0.0843103,1.01754,0.001,0.0247814,0.068513,17.88,0.9999999,0.9999998
1531033,DES16E2dce      ,0,0.6089,0.1451,-0.702721,0.001,0.0739003,0.75155,22.22,0.9725328,0.9751094
1531078,DES16X2cxu      ,0,0.6771,-0.102441,0.79781,0.001,0.0537486,0.80345,23.3,0.9999982,0.9999939
1531089,DES16E2cxw      ,1,0.2915,-0.00149555,-0.78478,0.001,0.0301564,0.16909,21.28,1.0,1.0
1531108,DES16X1dbx      ,1,0.3439,0.1032,-0.100241,0.005,0.0307327999999999,0.2513,23.71,1.0,1.0
1531112,DES16X1dbw      ,1,0.3347,0.00628934,-0.433513,0.001,0.0283582,0.2168699999999999,22.76,1.0,1.0
1531113,DES16X1dcb      ,0,0.4569,-0.036964,-0.557072,0.001,0.0449426999999999,0.51445,22.08,0.99999964,0.9999901
1531145,DES16X3cxz      ,0,0.4567,0.0750638,-1.00491,0.001,0.0327854,0.29039,23.13,0.9999994,0.99999845
1532057,DES16E2dch      ,0,0.504,-0.0494289,-0.0196606,0.001,0.0359969,0.41526,22.18,0.9999999,1.0
