# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,all_class0_S_0,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB
1380221,DES16X3uz       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.58,99.0,0.9952826,1.09629,0.01554,0.77145,0.45643,-0.141348,0.0263241,0.75832
1381152,DES16C3ts       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.15,99.0,0.9886891,0.86851,0.01342,-1.49904,0.76818,0.0599348,0.0459113,0.53033
1382058,DES16X2aed      ,0,0.572,0.001,0.5733,0.001,10.47,0.05,22.3,99.0,0.47664666,0.72757,0.00144,-0.748072,0.72978,-0.117559,0.0417387,0.13411
1383024,DES16C3vr       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,26.18,99.0,0.764706,1.11248,0.00823,1.17872,0.4255,-0.0949024,0.0231994,0.65801
1385052,DES16X3afx      ,0,0.8011,0.001,0.8025,0.001,10.89,0.06,23.92,99.0,0.87407273,0.62097,0.00818,-2.26185,0.47887,0.11047,0.0342001,0.0150363
1385187,DES16S1afw      ,0,0.5221,0.001,0.5232,0.001,9.14,0.03,23.33,99.0,0.915356,0.53022,0.00535,1.00494,0.38838,-0.0245727,0.0293853,0.11396
1386047,DES16X3zd       ,1,0.4938,0.001,0.495,0.001,10.43,0.02,22.25,99.0,0.9999976,0.55025,0.00067,-0.743788,0.25142,-0.0573237,0.0189416,0.76615
1387101,DES16S2afz      ,1,0.4807,0.001,0.4818,0.001,8.99,0.39,23.84,99.0,0.9991357,0.47295,0.00917,1.16296,0.33047,-0.0234971,0.0273496,0.81434
1387144,DES16C1zv       ,1,0.4895,0.005,-9.99,-9999.0,-999.0,-999.0,23.88,99.0,1.0,0.57312,0.00089,0.76907,0.26287,-0.177548,0.0184938,0.1745
1387162,DES16C1ajb      ,0,0.6175,0.001,0.6181,0.001,10.22,0.02,22.97,99.0,0.99309057,0.63158,0.01895,-0.102686,0.65497,0.0901791,0.0476647,0.97337
1387169,DES16C1aiw      ,1,0.4695,0.005,-9.99,-9999.0,-999.0,-999.0,25.74,99.0,0.9999994,0.56737,0.00277,0.43929,0.23507,-0.203595,0.0173082,0.22445
1387174,DES16C2aiu      ,1,0.6984,0.005,-9.998,-9.998,-999.0,-999.0,24.99,99.0,0.9999161,0.63311,0.00365,0.35573,0.45467,-0.0442182,0.0300606,0.11507
1389074,DES16S1agd      ,1,0.5028,0.001,0.5039,0.001,9.63,0.01,22.36,99.0,0.99983776,0.37718,0.01068,-0.290289,0.33164,0.13316,0.0333472,0.0621685
1389177,DES16C2ajc      ,0,0.4489,0.001,0.4494,0.001,10.79,0.05,21.21,99.0,0.9990644,0.56376,0.00929,-0.429999,0.37342,-0.145101,0.0269583,0.4847
1389210,DES16C2aji      ,0,0.5487,0.001,0.5492,0.001,9.97,0.01,21.75,99.0,0.9997714,0.45425,0.01581,0.50858,0.44486,0.19837,0.0442413,0.34664
1390173,DES16C1ajm      ,0,0.6588,0.001,0.6594,0.001,9.89,0.01,22.35,99.0,0.99997246,0.64842,0.00912,1.23461,0.62254,0.0796709,0.0415596,0.99637
1390343,DES16X3ags      ,0,0.8912,0.001,0.8927,0.001,9.86,0.02,22.95,99.0,0.99995685,0.83039,0.00217,0.69546,0.41435,-0.0351794,0.0262355,0.53003
1390413,DES16C2aju      ,0,0.611,0.001,0.6115,0.001,10.47,0.05,22.83,99.0,0.99997914,0.59578,0.0063,0.26151,0.40092,-0.0368686,0.0292881,0.30532
1390415,DES16C2akc      ,0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,99.0,99.0,0.98694617,0.90722,0.02294,0.35969,0.45361,-0.110006,0.00530539,0.77539
1391053,DES16X3abr      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.96,99.0,0.99999845,0.96741,0.05,1.41586,0.36675,-0.0607724,0.0219392,0.24871
1391191,DES16C2ajy      ,0,0.6507,0.001,0.6513,0.001,9.63,0.02,23.24,99.0,0.9858436,0.70722,0.00954,0.39937,0.64788,-0.0365869,0.0408225,0.60944
1391196,DES16C1ajx      ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,23.87,99.0,0.9891361,0.83377,0.01838,-0.231757,0.51705,-0.164826,0.0296727,0.66322
1392022,DES16C3adu      ,0,-9.0,-9.0,-9.99,-9999.0,-999.0,-999.0,24.4,99.0,0.9692378,1.12575,0.03404,-0.560051,0.45044,-0.0443903,0.0281595,0.71571
1392329,DES16S2bcr      ,0,0.6265,0.001,0.6277,0.001,9.57,0.06,23.28,99.0,0.98658216,0.44738,0.01139,-0.59352,0.36841,0.19998,0.0159465,0.32482
1392367,DES16S1aub      ,0,0.5935,0.001,0.5946,0.001,10.27,0.05,21.89,99.0,0.99997854,0.53997,0.0075,-0.86685,0.61923,0.081655,0.0415052,0.67073
1392400,DES16C1aua      ,1,0.4521,0.001,0.4526,0.001,9.08,0.02,22.77,99.0,0.99999964,0.47721,0.01104,-0.160652,0.30059,-0.102341,0.0247297,0.99986
1394075,DES16X1aic      ,0,0.7237,0.001,0.7251,0.001,10.76,0.05,23.21,99.0,0.9904659,0.93147,0.05,2.5384,0.25951,-0.0700706,0.0448797,0.81581
1394150,DES16X3ahz      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.09,99.0,0.99972516,0.90744,0.01362,-0.371804,0.57565,-0.0494702,0.0354083,0.0887262
1396029,DES16X2afc      ,0,0.791,0.001,0.7925,0.001,9.31,0.04,23.96,99.0,0.99930894,0.86687,0.00158,2.17311,0.21974,-0.13,0.00117522,0.1081
1400026,DES16C3arw      ,0,0.7096,0.001,0.7103,0.001,9.82,0.03,23.21,99.0,0.99999976,0.89418,0.05,1.94553,0.34684,-0.146418,0.0199931,0.2754
1402078,DES16X3ang      ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.26,99.0,0.999997,0.59783,0.00125,1.05441,0.26584,0.0870901,0.019705,0.24342
1403033,DES16E2ani      ,0,0.4743,0.001,0.4754,0.001,10.52,0.02,22.06,99.0,0.9999989,0.52912,0.00696,-1.9233,0.30892,-0.0599495,0.0215083,0.2691
1407093,DES16X3azz      ,0,0.3545,0.001,0.3556,0.001,10.69,0.02,21.32,99.0,0.99888474,0.86051,0.05,2.85623,0.66345,-0.100565,0.0356599,0.5909
1408024,DES16E2aoh      ,1,0.4023,0.001,0.4033,0.001,10.83,0.01,20.98,99.0,0.9999993,0.3853,0.00454,0.58763,0.21501,0.0674704,0.018115,0.93266
1408068,DES16X3baa      ,0,0.4271,0.001,0.4283,0.001,10.77,0.02,21.31,99.0,0.9999989,0.6536,0.00222,-0.453786,0.34581,-0.16183,0.0227147,0.50386
1409129,DES16C3bab      ,0,0.7936,0.001,0.7944,0.001,9.73,0.02,23.26,99.0,0.988715,0.75811,0.0009,1.96287,0.0501909,0.0275035,0.010068,0.61663
1411067,DES16X3aqy      ,0,0.5556,0.001,0.5569,0.001,10.3,0.02,22.71,99.0,0.99997926,0.83385,0.0165,0.67001,0.71224,-0.0143333,0.0423876,0.93803
