# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology In DES+2024 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
# all_class0_s* probabilities for different models  
# ensemble=average_probability_set_0  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB,all_class0_S_0,all_class0_S_55,all_class0_S_100,all_class0_S_1000,all_class0_S_30469,average_probability_set_0
1371022,DES16E1de       ,101,0.2908,0.001,0.2918,0.001,8.45,0.02,23.09,99.0,0.27428,0.00158,0.83695,0.13745,0.0412717,0.0120348,0.31732,1.0,1.0,1.0,1.0,1.0,1.0
1371040,DES16E1dg       ,0,0.8003,0.001,0.8016,0.001,10.11,0.06,23.69,99.0,0.62611,0.0093,0.94396,0.77847,0.0749019,0.0450519,0.24437,0.9578663,0.9807231,0.9179895,0.9762975,0.95691,0.95795727
1371048,DES16E2di       ,0,0.3439,0.001,0.3449,0.001,10.7,0.03,20.45,99.0,0.33904,0.00343,-1.27242,0.3728,0.0313575,0.0255737,0.99007,0.9993142,0.9999994,0.9999989,0.99999917,0.9999969,0.9998617
1371049,DES16E2dp       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,21.46,99.0,0.65264,0.00095,1.2112,0.0660739,-0.179022,0.0088321,0.0322253,0.9998387,0.9996642,0.9998349,0.9078305,0.93315446,0.9680645
1371111,DES16X3kq       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.38,99.0,0.88126,0.01633,0.24309,0.73464,-0.0749903,0.0395004,0.99991,0.99994755,0.998454,0.9996346,0.9988933,0.9861243,0.99661076
1371124,DES16C3dx       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,23.3,99.0,0.51725,0.05,0.87193,0.10788,-0.156364,0.00980697,0.27499,0.9999981,0.9999752,0.9999925,0.9999851,0.9999366,0.99997747
1371126,DES16C3ea       ,1,0.216,0.001,0.2165,0.001,10.02,0.01,20.79,99.0,0.27526,0.00304,-1.44358,0.19109,-0.200201,0.0170123,0.55943,0.9999995,0.9903674,0.9999988,0.9999999,0.9999933,0.9980718
1371206,DES16C3ds       ,0,0.5278,0.001,0.5284,0.001,10.26,0.02,22.76,99.0,0.52154,0.00269,-2.96785,0.38595,0.00398519,0.0281901,0.0549655,0.91801,0.9127436,0.9999132,0.99982375,0.9895639,0.9640109
1372045,DES16E1qo       ,0,0.3769,0.001,0.378,0.001,10.09,0.02,21.87,99.0,0.58031,0.00439,-0.363398,0.2671,-0.220895,0.0183501,0.26237,0.9755646,0.99093866,0.9981166,0.99535584,0.9911576,0.9902266
1372169,DES16C3qr       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.38,99.0,0.87403,0.00053,-1.57611,0.68047,-0.016911,0.0382373,0.78339,0.9997317,0.99997306,0.99947125,0.9988625,0.9977289,0.9991535
